rna_type,count,min_len,max_len,avg_len
rRNA,1000,100,400,263.69
tRNA,1000,100,400,125.63
misc_RNA,1000,107,400,301.81
lncRNA,1000,100,400,287.90
sRNA,1000,100,400,181.09
pre_miRNA,1000,100,302,148.07
snRNA,1000,100,378,152.36
snoRNA,1000,100,333,132.29
ncRNA,1000,100,399,174.91
piRNA,1000,302,376,339.15
hammerhead_ribozyme,1000,104,399,142.36
miRNA,1000,100,399,134.71
tmRNA,1000,101,400,355.84
